Season,Phase,Round,Gamecode,Team,Quarter1,Quarter2,Quarter3,Quarter4,Extra1,Extra2,Extra3,Extra4
2023,RS,24,212,REAL MADRID,29,23,28,26,,,,
2023,RS,24,212,MACCABI PLAYTIKA TEL AVIV,18,27,28,28,,,,
2023,RS,24,213,AS MONACO,14,30,21,20,,,,
2023,RS,24,213,PARTIZAN MOZZART BET BELGRADE,16,22,23,9,,,,
2023,RS,24,214,FC BARCELONA,20,21,20,23,,,,
2023,RS,24,214,VIRTUS SEGAFREDO BOLOGNA,17,10,17,13,,,,
2023,RS,24,215,PANATHINAIKOS AKTOR ATHENS,21,23,13,22,,,,
2023,RS,24,215,EA7 EMPORIO ARMANI MILAN,16,12,13,21,,,,
2023,RS,24,216,ZALGIRIS KAUNAS,34,24,18,20,,,,
2023,RS,24,216,ANADOLU EFES ISTANBUL,14,23,22,11,,,,
2023,RS,25,217,ALBA BERLIN,15,15,15,21,,,,
2023,RS,25,217,VALENCIA BASKET,20,22,23,16,,,,
2023,RS,25,218,FC BAYERN MUNICH,14,24,13,21,,,,
2023,RS,25,218,OLYMPIACOS PIRAEUS,18,17,19,22,,,,
2023,RS,25,219,REAL MADRID,24,21,17,24,,,,
2023,RS,25,219,LDLC ASVEL VILLEURBANNE,18,17,15,29,,,,
2023,RS,25,220,BASKONIA VITORIA-GASTEIZ,20,34,19,19,,,,
2023,RS,25,220,MACCABI PLAYTIKA TEL AVIV,26,21,16,19,,,,
2023,RS,25,221,ANADOLU EFES ISTANBUL,15,19,30,15,,,,
2023,RS,25,221,EA7 EMPORIO ARMANI MILAN,15,28,7,23,,,,
2023,RS,25,222,AS MONACO,21,15,19,21,,,,
2023,RS,25,222,FENERBAHCE BEKO ISTANBUL,25,19,17,8,,,,
2023,RS,25,223,CRVENA ZVEZDA MERIDIANBET BELGRADE,17,15,19,25,,,,
2023,RS,25,223,FC BARCELONA,18,27,19,21,,,,
2023,RS,25,224,VIRTUS SEGAFREDO BOLOGNA,19,16,27,26,,,,
2023,RS,25,224,PARTIZAN MOZZART BET BELGRADE,19,12,27,26,,,,
2023,RS,25,225,ZALGIRIS KAUNAS,25,19,20,16,,,,
2023,RS,25,225,PANATHINAIKOS AKTOR ATHENS,25,13,18,12,,,,
2023,RS,26,226,EA7 EMPORIO ARMANI MILAN,23,25,18,15,,,,
2023,RS,26,226,REAL MADRID,19,10,25,22,,,,
2023,RS,26,227,ANADOLU EFES ISTANBUL,29,21,27,28,,,,
2023,RS,26,227,MACCABI PLAYTIKA TEL AVIV,27,24,24,16,,,,
2023,RS,26,228,VALENCIA BASKET,19,20,9,17,,,,
2023,RS,26,228,OLYMPIACOS PIRAEUS,21,19,20,18,,,,
2023,RS,26,229,PARTIZAN MOZZART BET BELGRADE,23,22,18,15,,,,
2023,RS,26,229,FC BAYERN MUNICH,26,15,18,20,,,,
2023,RS,26,230,BASKONIA VITORIA-GASTEIZ,23,29,19,23,,,,
2023,RS,26,230,LDLC ASVEL VILLEURBANNE,20,19,22,19,,,,
2023,RS,26,231,CRVENA ZVEZDA MERIDIANBET BELGRADE,22,23,20,26,,,,
2023,RS,26,231,ZALGIRIS KAUNAS,23,22,23,25,,,,
2023,RS,26,232,FC BARCELONA,31,20,29,13,,,,
2023,RS,26,232,ALBA BERLIN,26,13,12,26,,,,
2023,RS,26,233,PANATHINAIKOS AKTOR ATHENS,13,25,19,17,,,,
2023,RS,26,233,FENERBAHCE BEKO ISTANBUL,21,9,17,16,,,,
2023,RS,26,234,VIRTUS SEGAFREDO BOLOGNA,16,19,19,24,,,,
2023,RS,26,234,AS MONACO,21,24,15,21,,,,
2023,RS,27,235,ALBA BERLIN,15,23,18,15,,,,
2023,RS,27,235,MACCABI PLAYTIKA TEL AVIV,27,30,30,19,,,,
2023,RS,27,236,PARTIZAN MOZZART BET BELGRADE,17,26,21,36,,,,
2023,RS,27,236,ANADOLU EFES ISTANBUL,20,20,19,31,,,,
2023,RS,27,237,REAL MADRID,24,12,25,25,,,,
2023,RS,27,237,PANATHINAIKOS AKTOR ATHENS,18,27,22,30,,,,
2023,RS,27,238,VIRTUS SEGAFREDO BOLOGNA,18,26,21,22,,,,
2023,RS,27,238,VALENCIA BASKET,20,12,25,17,,,,
2023,RS,27,239,ZALGIRIS KAUNAS,20,19,17,20,,,,
2023,RS,27,239,OLYMPIACOS PIRAEUS,23,18,28,26,,,,
2023,RS,27,240,FC BARCELONA,21,14,16,16,,,,
2023,RS,27,240,AS MONACO,12,21,27,17,,,,
2023,RS,27,241,FC BAYERN MUNICH,20,12,21,21,,,,
2023,RS,27,241,CRVENA ZVEZDA MERIDIANBET BELGRADE,19,8,19,20,,,,
2023,RS,27,242,FENERBAHCE BEKO ISTANBUL,32,23,23,33,,,,
2023,RS,27,242,BASKONIA VITORIA-GASTEIZ,34,20,24,18,,,,
2023,RS,27,243,LDLC ASVEL VILLEURBANNE,22,17,23,19,,,,
2023,RS,27,243,EA7 EMPORIO ARMANI MILAN,13,22,21,21,,,,
2023,RS,28,244,ANADOLU EFES ISTANBUL,26,27,35,21,,,,
2023,RS,28,244,FC BAYERN MUNICH,28,21,16,21,,,,
2023,RS,28,245,AS MONACO,25,21,23,29,,,,
2023,RS,28,245,CRVENA ZVEZDA MERIDIANBET BELGRADE,17,21,22,20,,,,
2023,RS,28,246,MACCABI PLAYTIKA TEL AVIV,21,21,14,27,,,,
2023,RS,28,246,ZALGIRIS KAUNAS,21,19,22,14,,,,
2023,RS,28,247,OLYMPIACOS PIRAEUS,21,16,20,17,,,,
2023,RS,28,247,VIRTUS SEGAFREDO BOLOGNA,22,24,5,18,,,,
2023,RS,28,248,REAL MADRID,15,18,25,21,,,,
2023,RS,28,248,FENERBAHCE BEKO ISTANBUL,20,23,24,22,,,,
2023,RS,28,249,VALENCIA BASKET,18,24,15,21,,,,
2023,RS,28,249,FC BARCELONA,18,19,22,29,,,,
2023,RS,28,250,EA7 EMPORIO ARMANI MILAN,22,19,23,21,,,,
2023,RS,28,250,PARTIZAN MOZZART BET BELGRADE,21,19,27,16,,,,
2023,RS,28,251,PANATHINAIKOS AKTOR ATHENS,20,18,21,26,,,,
2023,RS,28,251,LDLC ASVEL VILLEURBANNE,17,19,14,17,,,,
2023,RS,28,252,BASKONIA VITORIA-GASTEIZ,23,19,21,25,,,,
2023,RS,28,252,ALBA BERLIN,10,24,13,24,,,,
2023,RS,29,253,ALBA BERLIN,27,12,23,20,,,,
2023,RS,29,253,AS MONACO,13,32,24,21,,,,
2023,RS,29,254,FC BARCELONA,29,22,23,20,,,,
2023,RS,29,254,PARTIZAN MOZZART BET BELGRADE,24,24,20,8,,,,
2023,RS,29,255,OLYMPIACOS PIRAEUS,7,26,15,23,,,,
2023,RS,29,255,PANATHINAIKOS AKTOR ATHENS,17,16,9,23,,,,
2023,RS,29,256,BASKONIA VITORIA-GASTEIZ,19,29,21,19,,,,
2023,RS,29,256,EA7 EMPORIO ARMANI MILAN,18,16,21,18,,,,
2023,RS,29,257,CRVENA ZVEZDA MERIDIANBET BELGRADE,21,26,14,19,,,,
2023,RS,29,257,MACCABI PLAYTIKA TEL AVIV,17,14,22,31,,,,
2023,RS,29,258,FENERBAHCE BEKO ISTANBUL,22,35,28,33,,,,
2023,RS,29,258,VALENCIA BASKET,19,18,24,27,,,,
2023,RS,29,259,VIRTUS SEGAFREDO BOLOGNA,15,16,21,22,,,,
2023,RS,29,259,REAL MADRID,23,21,17,28,,,,
2023,RS,29,260,FC BAYERN MUNICH,18,15,17,14,,,,
2023,RS,29,260,ZALGIRIS KAUNAS,10,11,16,21,,,,
2023,RS,29,261,LDLC ASVEL VILLEURBANNE,19,27,19,19,,,,
2023,RS,29,261,ANADOLU EFES ISTANBUL,16,23,13,28,,,,
2023,RS,30,262,ALBA BERLIN,26,14,17,22,,,,
2023,RS,30,262,REAL MADRID,16,20,22,28,,,,
2023,RS,30,263,ANADOLU EFES ISTANBUL,26,22,18,19,,,,
2023,RS,30,263,OLYMPIACOS PIRAEUS,21,16,24,11,,,,
2023,RS,30,264,MACCABI PLAYTIKA TEL AVIV,23,24,19,32,,,,
2023,RS,30,264,LDLC ASVEL VILLEURBANNE,21,28,20,21,,,,
2023,RS,30,265,PARTIZAN MOZZART BET BELGRADE,23,21,25,18,,,,
2023,RS,30,265,BASKONIA VITORIA-GASTEIZ,16,26,18,23,,,,
2023,RS,30,266,ZALGIRIS KAUNAS,22,21,25,28,,,,
2023,RS,30,266,VIRTUS SEGAFREDO BOLOGNA,22,27,14,18,,,,
2023,RS,30,267,AS MONACO,20,24,23,13,,,,
2023,RS,30,267,EA7 EMPORIO ARMANI MILAN,27,31,18,22,,,,
2023,RS,30,268,CRVENA ZVEZDA MERIDIANBET BELGRADE,20,21,15,20,,,,
2023,RS,30,268,PANATHINAIKOS AKTOR ATHENS,29,22,19,19,,,,
2023,RS,30,269,FENERBAHCE BEKO ISTANBUL,23,23,16,26,,,,
2023,RS,30,269,FC BARCELONA,11,14,32,17,,,,
2023,RS,30,270,VALENCIA BASKET,28,17,12,13,,,,
2023,RS,30,270,FC BAYERN MUNICH,15,22,19,12,,,,
2023,RS,31,271,ANADOLU EFES ISTANBUL,23,30,12,20,,,,
2023,RS,31,271,ALBA BERLIN,23,17,27,17,,,,
2023,RS,31,272,OLYMPIACOS PIRAEUS,20,23,11,26,,,,
2023,RS,31,272,LDLC ASVEL VILLEURBANNE,12,23,20,9,,,,
2023,RS,31,273,PARTIZAN MOZZART BET BELGRADE,13,18,23,22,,,,
2023,RS,31,273,REAL MADRID,13,20,35,20,,,,
2023,RS,31,274,ZALGIRIS KAUNAS,25,23,23,23,,,,
2023,RS,31,274,BASKONIA VITORIA-GASTEIZ,17,17,23,19,,,,
2023,RS,31,275,AS MONACO,25,13,19,22,,,,
2023,RS,31,275,VALENCIA BASKET,15,19,20,24,,,,
2023,RS,31,276,EA7 EMPORIO ARMANI MILAN,28,15,16,18,,,,
2023,RS,31,276,FENERBAHCE BEKO ISTANBUL,18,18,15,25,,,,
2023,RS,31,277,CRVENA ZVEZDA MERIDIANBET BELGRADE,21,27,26,20,,,,
2023,RS,31,277,VIRTUS SEGAFREDO BOLOGNA,23,19,23,14,,,,
2023,RS,31,278,FC BAYERN MUNICH,21,14,27,12,,,,
2023,RS,31,278,MACCABI PLAYTIKA TEL AVIV,22,26,15,26,,,,
2023,RS,31,279,PANATHINAIKOS AKTOR ATHENS,20,14,26,29,,,,
2023,RS,31,279,FC BARCELONA,23,23,15,20,,,,
2023,RS,32,280,FC BAYERN MUNICH,19,11,23,26,,,,
2023,RS,32,280,FC BARCELONA,25,22,24,16,,,,
2023,RS,32,281,LDLC ASVEL VILLEURBANNE,12,28,21,16,,,,
2023,RS,32,281,AS MONACO,23,21,12,31,,,,
2023,RS,32,282,BASKONIA VITORIA-GASTEIZ,22,23,8,23,,,,
2023,RS,32,282,ANADOLU EFES ISTANBUL,32,17,28,20,,,,
2023,RS,32,283,MACCABI PLAYTIKA TEL AVIV,21,27,23,24,,,,
2023,RS,32,283,VALENCIA BASKET,20,18,20,22,,,,
2023,RS,32,284,PARTIZAN MOZZART BET BELGRADE,22,18,19,10,,,,
2023,RS,32,284,OLYMPIACOS PIRAEUS,17,15,14,28,,,,
2023,RS,32,285,ZALGIRIS KAUNAS,14,21,24,28,,,,
2023,RS,32,285,EA7 EMPORIO ARMANI MILAN,17,20,17,19,,,,
2023,RS,32,286,FENERBAHCE BEKO ISTANBUL,34,18,31,20,,,,
2023,RS,32,286,ALBA BERLIN,18,22,13,15,,,,
2023,RS,32,287,REAL MADRID,20,24,28,29,,,,
2023,RS,32,287,CRVENA ZVEZDA MERIDIANBET BELGRADE,21,26,28,19,,,,
2023,RS,32,288,VIRTUS SEGAFREDO BOLOGNA,16,23,20,20,,,,
2023,RS,32,288,PANATHINAIKOS AKTOR ATHENS,28,23,14,16,,,,
2023,RS,33,289,ALBA BERLIN,15,19,28,21,,,,
2023,RS,33,289,PARTIZAN MOZZART BET BELGRADE,23,24,25,22,,,,
2023,RS,33,290,AS MONACO,20,19,12,18,,,,
2023,RS,33,290,ZALGIRIS KAUNAS,11,18,15,22,,,,
2023,RS,33,291,CRVENA ZVEZDA MERIDIANBET BELGRADE,14,25,25,22,,,,
2023,RS,33,291,OLYMPIACOS PIRAEUS,23,19,21,26,,,,
2023,RS,33,292,FC BARCELONA,19,25,26,22,,,,
2023,RS,33,292,MACCABI PLAYTIKA TEL AVIV,19,24,20,26,,,,
2023,RS,33,293,VALENCIA BASKET,19,19,7,24,,,,
2023,RS,33,293,LDLC ASVEL VILLEURBANNE,27,25,27,19,,,,
2023,RS,33,294,EA7 EMPORIO ARMANI MILAN,22,24,27,17,,,,
2023,RS,33,294,VIRTUS SEGAFREDO BOLOGNA,18,16,19,22,,,,
2023,RS,33,295,FC BAYERN MUNICH,18,18,18,21,,,,
2023,RS,33,295,PANATHINAIKOS AKTOR ATHENS,13,27,18,24,,,,
2023,RS,33,296,FENERBAHCE BEKO ISTANBUL,13,23,16,28,,,,
2023,RS,33,296,ANADOLU EFES ISTANBUL,16,16,19,31,,,,
2023,RS,33,297,REAL MADRID,27,21,16,27,,,,
2023,RS,33,297,BASKONIA VITORIA-GASTEIZ,17,25,23,30,,,,
2023,RS,34,298,ANADOLU EFES ISTANBUL,15,30,31,24,,,,
2023,RS,34,298,CRVENA ZVEZDA MERIDIANBET BELGRADE,11,20,13,11,,,,
2023,RS,34,299,AS MONACO,29,23,20,17,,,,
2023,RS,34,299,FC BAYERN MUNICH,14,16,30,25,,,,
2023,RS,34,300,MACCABI PLAYTIKA TEL AVIV,27,25,25,15,,,,
2023,RS,34,300,EA7 EMPORIO ARMANI MILAN,23,29,18,16,,,,
2023,RS,34,301,PANATHINAIKOS AKTOR ATHENS,17,21,22,24,,,,
2023,RS,34,301,ALBA BERLIN,23,14,26,12,,,,
2023,RS,34,302,ZALGIRIS KAUNAS,9,16,17,20,,,,
2023,RS,34,302,REAL MADRID,16,15,13,20,,,,
2023,RS,34,303,VIRTUS SEGAFREDO BOLOGNA,22,31,21,17,,,,
2023,RS,34,303,BASKONIA VITORIA-GASTEIZ,21,23,31,20,,,,
2023,RS,34,304,LDLC ASVEL VILLEURBANNE,24,14,19,19,,,,
2023,RS,34,304,FC BARCELONA,18,24,15,15,,,,
2023,RS,34,305,OLYMPIACOS PIRAEUS,19,19,15,16,15.0,,,
2023,RS,34,305,FENERBAHCE BEKO ISTANBUL,19,15,18,17,12.0,,,
2023,RS,34,306,PARTIZAN MOZZART BET BELGRADE,15,20,23,21,,,,
2023,RS,34,306,VALENCIA BASKET,21,16,15,14,,,,
2023,PI,35,307,MACCABI PLAYTIKA TEL AVIV,28,27,31,27,,,,
2023,PI,35,307,BASKONIA VITORIA-GASTEIZ,15,21,25,24,,,,
2023,PI,35,308,ANADOLU EFES ISTANBUL,23,13,14,14,,,,
2023,PI,35,308,VIRTUS SEGAFREDO BOLOGNA,21,14,13,19,,,,
2023,PI,36,309,BASKONIA VITORIA-GASTEIZ,21,20,31,17,,,,
2023,PI,36,309,VIRTUS SEGAFREDO BOLOGNA,22,19,16,20,,,,
2023,PO,37,310,REAL MADRID,26,22,22,20,,,,
2023,PO,37,310,BASKONIA VITORIA-GASTEIZ,17,20,16,21,,,,
2023,PO,37,311,FC BARCELONA,18,17,19,21,,,,
2023,PO,37,311,OLYMPIACOS PIRAEUS,19,25,17,16,,,,
2023,PO,37,312,AS MONACO,26,20,15,20,10.0,,,
2023,PO,37,312,FENERBAHCE BEKO ISTANBUL,15,22,23,21,14.0,,,
2023,PO,37,313,PANATHINAIKOS AKTOR ATHENS,25,25,20,17,,,,
2023,PO,37,313,MACCABI PLAYTIKA TEL AVIV,26,16,21,28,,,,
2023,PO,38,314,REAL MADRID,23,23,28,27,,,,
2023,PO,38,314,BASKONIA VITORIA-GASTEIZ,21,19,23,27,,,,
2023,PO,38,315,FC BARCELONA,27,16,17,17,,,,
2023,PO,38,315,OLYMPIACOS PIRAEUS,14,23,20,12,,,,
2023,PO,38,316,AS MONACO,31,23,11,28,,,,
2023,PO,38,316,FENERBAHCE BEKO ISTANBUL,21,29,24,14,,,,
2023,PO,38,317,PANATHINAIKOS AKTOR ATHENS,20,31,20,24,,,,
2023,PO,38,317,MACCABI PLAYTIKA TEL AVIV,28,11,21,19,,,,
2023,PO,39,318,BASKONIA VITORIA-GASTEIZ,22,34,17,25,,,,
2023,PO,39,318,REAL MADRID,22,30,20,30,,,,
2023,PO,39,319,OLYMPIACOS PIRAEUS,13,24,14,20,9.0,,,
2023,PO,39,319,FC BARCELONA,13,19,25,14,11.0,,,
2023,PO,39,320,FENERBAHCE BEKO ISTANBUL,19,28,22,20,,,,
2023,PO,39,320,AS MONACO,21,19,18,20,,,,
2023,PO,39,321,MACCABI PLAYTIKA TEL AVIV,23,23,21,18,,,,
2023,PO,39,321,PANATHINAIKOS AKTOR ATHENS,11,26,19,27,,,,
2023,PO,40,323,OLYMPIACOS PIRAEUS,21,32,19,20,,,,
2023,PO,40,323,FC BARCELONA,23,14,10,11,,,,
2023,PO,40,324,FENERBAHCE BEKO ISTANBUL,15,18,14,15,,,,
2023,PO,40,324,AS MONACO,11,19,18,17,,,,
2023,PO,40,325,MACCABI PLAYTIKA TEL AVIV,29,21,19,19,,,,
2023,PO,40,325,PANATHINAIKOS AKTOR ATHENS,26,23,25,21,,,,
2023,PO,41,327,FC BARCELONA,12,15,13,19,,,,
2023,PO,41,327,OLYMPIACOS PIRAEUS,9,16,15,23,,,,
2023,PO,41,328,AS MONACO,15,25,15,15,9.0,,,
2023,PO,41,328,FENERBAHCE BEKO ISTANBUL,13,22,21,14,10.0,,,
2023,PO,41,329,PANATHINAIKOS AKTOR ATHENS,19,22,17,23,,,,
2023,PO,41,329,MACCABI PLAYTIKA TEL AVIV,21,20,15,16,,,,
2023,FF,42,330,REAL MADRID,28,28,15,16,,,,
2023,FF,42,330,OLYMPIACOS PIRAEUS,10,27,21,18,,,,
2023,FF,42,331,PANATHINAIKOS AKTOR ATHENS,22,16,18,17,,,,
2023,FF,42,331,FENERBAHCE BEKO ISTANBUL,13,23,14,7,,,,
2023,FF,43,332,OLYMPIACOS PIRAEUS,24,24,18,21,,,,
2023,FF,43,332,FENERBAHCE BEKO ISTANBUL,16,21,25,22,,,,
2023,FF,43,333,REAL MADRID,36,18,7,19,,,,
2023,FF,43,333,PANATHINAIKOS AKTOR ATHENS,25,24,15,31,,,,
